forecast_made_week,forecast_target_week,predicted_weekly_avg,actual_weekly_avg,abs_error,actual_direction,predicted_direction,sign_correct,,Summarize,
2025/1/6,2025/1/13,77.26377739,79.282,2.01822261,2.012,-0.00622261,0,,avg abs error,1.9
2025/1/13,2025/1/20,78.65193197,75.7275,2.924431971,-2.8325,0.091931971,0,,Success Ratio,53%
2025/1/20,2025/1/27,75.36913754,73.308,2.061137543,-1.662,0.399137543,0,,,
2025/1/27,2025/2/3,73.14173227,72.048,1.093732271,-0.792,0.301732271,0,,,
2025/2/3,2025/2/10,71.57847425,72.166,0.587525752,0.846,0.258474248,1,,,
2025/2/10,2025/2/17,71.22638461,72.0975,0.871115393,1.0475,0.176384607,1,,,
2025/2/17,2025/2/24,70.89935973,69.934,0.965359733,-0.786,0.179359733,0,,,
2025/2/24,2025/3/3,70.17476284,67.518,2.656762841,-2.452,0.204762841,0,,,
2025/3/3,2025/3/10,67.60940756,66.946,0.66340756,-0.344,0.31940756,0,,,
2025/3/10,2025/3/17,67.56894193,67.96,0.391058071,0.53,0.138941929,1,,,
2025/3/17,2025/3/24,68.59751269,69.806,1.208487309,1.286,0.077512691,1,,,
2025/3/24,2025/3/31,69.81189669,69.09,0.721896691,-0.65,0.071896691,0,,,
2025/3/31,2025/4/7,62.9918594,61.24,1.7518594,-1.18,0.5718594,0,,,
2025/4/7,2025/4/14,62.07691604,62.92,0.84308396,1.01,0.16691604,1,,,
2025/4/14,2025/4/21,64.99087211,63.624,1.366872112,-1.446,-0.079127888,1,,,
2025/4/21,2025/4/28,64.06822966,60.99,3.078229664,-2.86,0.218229664,0,,,
2025/4/28,2025/5/5,60.05675675,60.392,0.335243249,0.722,0.386756751,1,,,
2025/5/5,2025/5/12,62.31590051,63.942,1.626099491,1.572,-0.054099491,0,,,
2025/5/12,2025/5/19,63.87803867,63.264,0.614038668,-0.576,0.038038668,0,,,
2025/5/19,2025/5/26,63.08816823,61.8175,1.270668226,-1.0725,0.198168226,0,,,
2025/5/26,2025/6/2,61.68498771,64.06,2.375012295,2.6,0.224987705,1,,,
2025/6/2,2025/6/9,65.16935334,68.626,3.456646661,3.326,-0.130646661,0,,,
2025/6/9,2025/6/16,73.37140084,74.94,1.568599156,1.1,-0.468599156,0,,,
2025/6/16,2025/6/23,75.76512334,66.778,8.987123339,-8.942,0.045123339,0,,,
2025/6/23,2025/6/30,67.3281338,67.4325,0.104366202,0.7725,0.668133798,1,,,
2025/6/30,2025/7/7,68.18125199,69.146,0.964748012,1.016,0.051251988,1,,,
2025/7/7,2025/7/14,69.68334855,68.074,1.609348552,-1.556,0.053348552,0,,,
2025/7/14,2025/7/21,68.75199429,67.108,1.643994287,-1.422,0.221994287,0,,,
2025/7/21,2025/7/28,66.66157837,69.584,2.922421628,3.204,0.281578372,1,,,
2025/7/28,2025/8/4,68.40432823,65.75,2.654328225,-2.64,0.014328225,0,,,
2025/8/4,2025/8/11,65.29705373,64.34,0.957053731,-0.6,0.357053731,0,,,
2025/8/11,2025/8/18,63.9927881,64.144,0.151211905,0.364,0.212788095,1,,,
2025/8/18,2025/8/25,64.19881124,64.518,0.319188762,0.438,0.118811238,1,,,
2025/8/25,2025/9/1,64.48082191,64.085,0.395821908,-0.275,0.120821908,0,,,
2025/9/1,2025/9/8,62.48959034,63.062,0.572409656,0.842,0.269590344,1,,,
2025/9/8,2025/9/15,63.10230633,63.978,0.875693668,0.958,0.082306332,1,,,
2025/9/15,2025/9/22,63.15555913,64.832,1.676440866,1.812,0.135559134,1,,,
2025/9/22,2025/9/29,66.40316508,62.592,3.811165077,-3.908,-0.096834923,1,,,
2025/9/29,2025/10/6,62.08045714,62.098,0.017542864,0.448,0.430457136,1,,,
2025/10/6,2025/10/13,59.99833766,58.7975,1.20083766,-0.9525,0.24833766,0,,,
2025/10/13,2025/10/20,58.51611811,60.202,1.685881886,1.902,0.216118114,1,,,
2025/10/20,2025/10/27,62.12330735,61.494,0.629307346,-0.776,-0.146692654,1,,,
2025/10/27,2025/11/3,61.91617441,60.87,1.046174411,-0.88,0.166174411,0,,,
2025/11/3,2025/11/10,60.74722341,60.1625,0.58472341,-0.3775,0.20722341,0,,,
2025/11/10,2025/11/17,60.97768473,60.274,0.703684733,-0.596,0.107684733,0,,,
2025/11/17,2025/11/24,59.1128081,58.6875,0.425308097,-0.1725,0.252808097,0,,,
2025/11/24,2025/12/1,58.72190004,59.484,0.762099961,0.904,0.141900039,1,,,
2025/12/1,2025/12/8,60.24563082,58.296,1.949630818,-1.934,0.015630818,0,,,
2025/12/8,2025/12/15,57.89698028,56.3,1.596980283,-1.31,0.286980283,0,,,
2025/12/15,2025/12/22,56.97153995,58.0125,1.040960053,1.2125,0.171539947,1,,,
2025/12/22,2025/12/29,56.73131642,57.5375,0.806183583,0.9375,0.131316417,1,,,
2025/12/29,2026/1/5,57.28889039,57.556,0.267109613,0.346,0.078890387,1,,,
2026/1/5,2026/1/12,58.96497551,60.122,1.157024491,1.162,0.004975509,1,,,
2026/1/12,2026/1/19,59.49598946,60.155,0.659010535,0.755,0.095989465,1,,,
2026/1/19,2026/1/26,60.74088673,62.904,2.163113275,2.204,0.040886725,1,,,
2026/1/26,2026/2/2,64.37267258,63.09,1.282672583,-1.41,-0.127327417,1,,,
2026/2/2,2026/2/9,63.9542628,63.932,0.022262796,0.162,0.184262796,1,,,
2026/2/9,2026/2/16,63.23161836,65.3025,2.07088164,2.2525,0.18161836,1,,,
2026/2/16,2026/2/23,66.58013736,65.868,0.712137356,-0.822,-0.109862644,1,,,
2026/2/23,2026/3/2,67.08713012,78.368,11.28086988,11.408,0.127130124,1,,,
2026/3/2,2026/3/9,88.85652389,91.85,2.993476113,1.08,-1.913476113,0,,,
2026/3/9,2026/3/16,98.20843723,96.068,2.140437228,-2.412,-0.271562772,1,,,
2026/3/16,2026/3/23,98.93052802,94.292,4.638528024,-4.418,0.220528024,0,,,
2026/3/23,2026/3/30,101.3438047,105.67,4.326195284,4.41,0.083804716,1,,,
2026/3/30,2026/4/6,112.7042094,104.544,8.160209438,-8.686,-0.525790562,1,,,
2026/4/6,2026/4/13,99.37718444,93.84,5.537184439,-4.5,1.037184439,0,,,
2026/4/13,2026/4/20,86.75398582,91.06,4.306014178,5.15,0.843985822,1,,,
